Date,Mine_Site,Weather_Condition,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kph,Dust_Level_ug_m3,Mining_Tip
2022-01-01,Shabanie Mashaba Mine,Clear,29.2,26.4,0.1,49.9,147.2,Good time for aerial surveys of the pit.
2022-01-02,Freda Rebecca Mine,Clear,35.6,28.9,0.9,11.3,189.0,Good time for aerial surveys of the pit.
2022-01-03,ZIMPLATS Derby PGM Mine,Hot,36.3,73.8,0.9,45.6,65.5,Monitor worker heat stress — schedule frequent breaks.
2022-01-04,Unki Mine,Partly Cloudy,37.8,25.3,0.7,26.4,72.8,Monitor light levels in underground shafts.
2022-01-05,Freda Rebecca Mine,Hot,35.8,72.1,0.0,32.2,47.6,Inspect machinery cooling systems frequently.
2022-01-06,Unki Mine,Clear,26.8,89.7,0.1,45.0,222.3,Good time for aerial surveys of the pit.
2022-01-07,Karo Coal Mine,Thunderstorms,39.9,68.2,3.5,3.7,19.0,Secure loose equipment and materials.
2022-01-08,Renco Mine,Partly Cloudy,32.5,88.6,0.2,57.0,18.0,Maintain ventilation checks before shift start.
2022-01-09,Freda Rebecca Mine,Hot,30.2,74.4,1.0,40.3,46.9,Inspect machinery cooling systems frequently.
2022-01-10,Unki Mine,Partly Cloudy,38.5,40.0,1.8,14.9,25.0,Schedule maintenance during cooler parts of the day.
2022-01-11,Freda Rebecca Mine,Hot,37.2,60.1,0.7,16.2,89.2,Provide extra hydration stations at worksite.
2022-01-12,Murowa Diamond Mine,Clear,34.5,78.7,1.4,44.1,54.8,Good time for aerial surveys of the pit.
2022-01-13,Renco Mine,Partly Cloudy,36.0,77.3,1.7,16.1,53.0,Maintain ventilation checks before shift start.
2022-01-14,Shabanie Mashaba Mine,Hot,16.5,23.8,1.8,21.8,12.6,Inspect machinery cooling systems frequently.
2022-01-15,Renco Mine,Partly Cloudy,17.7,24.2,0.4,43.1,42.3,Schedule maintenance during cooler parts of the day.
2022-01-16,Freda Rebecca Mine,Thunderstorms,21.8,24.3,4.2,4.9,35.4,Secure loose equipment and materials.
2022-01-17,Karo Coal Mine,Rain,25.4,33.7,14.5,46.2,95.7,Check water drainage systems around pits.
2022-01-18,Shabanie Mashaba Mine,Clear,32.1,71.4,0.6,13.1,268.7,Optimal visibility — schedule blasting operations or inspections.
2022-01-19,Unki Mine,Rain,19.0,41.6,5.0,15.2,10.4,Postpone blasting operations until ground is stable.
2022-01-20,ZIMPLATS Derby PGM Mine,Thunderstorms,26.6,20.8,8.5,55.2,46.0,Secure loose equipment and materials.
2022-01-21,Unki Mine,Clear,17.9,68.3,0.2,34.6,288.0,Ensure dust controls are in place during dry conditions.
2022-01-22,Murowa Diamond Mine,Windy,24.0,69.9,0.8,42.6,264.2,Monitor dust dispersion and adjust water sprays.
2022-01-23,Freda Rebecca Mine,Windy,25.1,23.5,0.2,54.1,110.6,High wind may affect crane and lifting operations — use caution.
2022-01-24,Unki Mine,Clear,34.5,54.8,1.2,32.5,276.2,Ensure dust controls are in place during dry conditions.
2022-01-25,Freda Rebecca Mine,Partly Cloudy,15.6,39.3,1.8,43.9,73.3,Maintain ventilation checks before shift start.
2022-01-26,Murowa Diamond Mine,Rain,32.8,39.9,11.4,21.3,26.5,Inspect haul roads for erosion and potholes.
2022-01-27,ZIMPLATS Derby PGM Mine,Windy,16.5,63.0,0.3,53.7,134.6,Check stability of conveyor belts and hoisting equipment.
2022-01-28,Freda Rebecca Mine,Windy,21.9,68.4,0.4,33.6,221.3,Check stability of conveyor belts and hoisting equipment.
2022-01-29,ZIMPLATS Derby PGM Mine,Rain,28.3,75.0,10.3,28.5,16.6,Inspect haul roads for erosion and potholes.
2022-01-30,Murowa Diamond Mine,Thunderstorms,19.8,94.1,17.2,1.8,53.3,Halt open-pit operations due to lightning risk.
2022-01-31,Karo Coal Mine,Partly Cloudy,33.8,51.0,1.4,12.0,25.7,Maintain ventilation checks before shift start.
2022-02-01,Shabanie Mashaba Mine,Partly Cloudy,38.4,90.5,0.6,32.1,51.6,Monitor light levels in underground shafts.
2022-02-02,Unki Mine,Windy,23.1,55.0,1.0,30.0,249.1,Check stability of conveyor belts and hoisting equipment.
2022-02-03,Shabanie Mashaba Mine,Clear,19.7,92.1,0.7,52.4,195.3,Optimal visibility — schedule blasting operations or inspections.
2022-02-04,Karo Coal Mine,Rain,24.3,65.4,13.2,16.6,60.1,Check water drainage systems around pits.
2022-02-05,Unki Mine,Thunderstorms,20.1,37.1,16.6,47.9,79.3,Secure loose equipment and materials.
2022-02-06,Renco Mine,Thunderstorms,37.6,87.5,3.6,10.9,52.0,Ensure workers seek shelter until storm passes.
2022-02-07,Karo Coal Mine,Clear,33.9,25.6,1.4,26.7,191.5,Ensure dust controls are in place during dry conditions.
2022-02-08,Karo Coal Mine,Rain,26.4,56.3,11.0,10.9,77.1,Inspect haul roads for erosion and potholes.
2022-02-09,Renco Mine,Clear,32.1,59.8,1.2,37.9,210.8,Optimal visibility — schedule blasting operations or inspections.
2022-02-10,Freda Rebecca Mine,Partly Cloudy,22.0,46.4,1.1,38.2,58.3,Maintain ventilation checks before shift start.
2022-02-11,Murowa Diamond Mine,Partly Cloudy,19.5,50.8,0.7,27.6,80.0,Maintain ventilation checks before shift start.
2022-02-12,Renco Mine,Rain,35.3,42.9,6.0,55.1,18.6,Inspect haul roads for erosion and potholes.
2022-02-13,Renco Mine,Clear,19.0,70.3,0.1,9.6,131.1,Good time for aerial surveys of the pit.
2022-02-14,ZIMPLATS Derby PGM Mine,Thunderstorms,27.2,57.5,9.3,2.7,84.4,Halt open-pit operations due to lightning risk.
2022-02-15,Freda Rebecca Mine,Clear,19.5,56.0,0.2,39.8,282.0,Optimal visibility — schedule blasting operations or inspections.
2022-02-16,Renco Mine,Windy,33.1,27.9,1.5,57.2,225.8,High wind may affect crane and lifting operations — use caution.
2022-02-17,ZIMPLATS Derby PGM Mine,Rain,32.5,84.1,1.4,10.7,65.9,Check water drainage systems around pits.
2022-02-18,ZIMPLATS Derby PGM Mine,Clear,29.5,62.8,1.6,56.7,136.5,Good time for aerial surveys of the pit.
2022-02-19,Karo Coal Mine,Hot,22.7,54.8,1.0,25.3,62.5,Inspect machinery cooling systems frequently.
2022-02-20,Karo Coal Mine,Clear,23.6,28.8,0.8,42.3,132.7,Optimal visibility — schedule blasting operations or inspections.
2022-02-21,Shabanie Mashaba Mine,Windy,36.2,88.1,0.8,37.7,179.2,Check stability of conveyor belts and hoisting equipment.
2022-02-22,Freda Rebecca Mine,Rain,36.1,92.5,8.1,13.3,91.6,Inspect haul roads for erosion and potholes.
2022-02-23,Karo Coal Mine,Windy,25.7,31.7,0.1,43.8,67.9,High wind may affect crane and lifting operations — use caution.
2022-02-24,Freda Rebecca Mine,Partly Cloudy,19.7,60.8,0.7,43.0,92.3,Monitor light levels in underground shafts.
2022-02-25,Unki Mine,Partly Cloudy,38.3,57.1,1.1,27.9,53.0,Monitor light levels in underground shafts.
2022-02-26,Murowa Diamond Mine,Partly Cloudy,38.3,79.2,1.7,17.3,87.7,Maintain ventilation checks before shift start.
2022-02-27,ZIMPLATS Derby PGM Mine,Thunderstorms,16.6,93.1,16.6,1.0,16.8,Ensure workers seek shelter until storm passes.
2022-02-28,Freda Rebecca Mine,Windy,35.3,72.1,2.0,23.6,268.2,High wind may affect crane and lifting operations — use caution.
2022-03-01,Murowa Diamond Mine,Partly Cloudy,31.9,78.5,1.7,30.0,60.3,Schedule maintenance during cooler parts of the day.
2022-03-02,Shabanie Mashaba Mine,Partly Cloudy,27.5,69.2,1.8,38.2,78.9,Schedule maintenance during cooler parts of the day.
2022-03-03,Murowa Diamond Mine,Partly Cloudy,23.3,86.5,0.3,9.1,33.8,Schedule maintenance during cooler parts of the day.
2022-03-04,Shabanie Mashaba Mine,Thunderstorms,25.3,84.7,0.5,14.8,18.1,Halt open-pit operations due to lightning risk.
2022-03-05,Unki Mine,Partly Cloudy,28.9,42.0,0.0,7.6,63.7,Monitor light levels in underground shafts.
2022-03-06,Renco Mine,Thunderstorms,39.6,58.6,12.5,21.7,47.9,Secure loose equipment and materials.
2022-03-07,Freda Rebecca Mine,Hot,15.9,47.9,0.2,53.6,29.3,Provide extra hydration stations at worksite.
2022-03-08,Murowa Diamond Mine,Thunderstorms,27.2,72.4,16.7,0.9,37.4,Halt open-pit operations due to lightning risk.
2022-03-09,Unki Mine,Rain,26.7,31.9,13.9,55.0,48.7,Check water drainage systems around pits.
2022-03-10,Karo Coal Mine,Clear,32.8,82.8,0.4,58.1,162.6,Ensure dust controls are in place during dry conditions.
2022-03-11,ZIMPLATS Derby PGM Mine,Windy,34.8,50.8,0.4,28.5,244.4,Monitor dust dispersion and adjust water sprays.
2022-03-12,Murowa Diamond Mine,Windy,33.9,50.6,0.2,13.0,269.2,Monitor dust dispersion and adjust water sprays.
2022-03-13,Freda Rebecca Mine,Thunderstorms,36.4,71.7,11.1,35.5,99.0,Ensure workers seek shelter until storm passes.
2022-03-14,Renco Mine,Thunderstorms,32.0,38.5,9.9,22.9,14.2,Ensure workers seek shelter until storm passes.
2022-03-15,Shabanie Mashaba Mine,Hot,25.0,90.7,0.7,59.8,68.5,Provide extra hydration stations at worksite.
2022-03-16,Murowa Diamond Mine,Thunderstorms,27.3,43.7,3.4,6.3,33.7,Halt open-pit operations due to lightning risk.
2022-03-17,Renco Mine,Clear,24.0,49.9,0.1,40.1,50.5,Ensure dust controls are in place during dry conditions.
2022-03-18,Renco Mine,Clear,31.1,31.8,0.1,9.1,141.5,Ensure dust controls are in place during dry conditions.
2022-03-19,Murowa Diamond Mine,Hot,31.3,76.3,1.9,23.8,74.6,Inspect machinery cooling systems frequently.
2022-03-20,Shabanie Mashaba Mine,Windy,25.0,31.3,0.0,33.3,246.3,High wind may affect crane and lifting operations — use caution.
2022-03-21,Shabanie Mashaba Mine,Clear,33.6,86.2,1.3,20.5,279.1,Good time for aerial surveys of the pit.
2022-03-22,ZIMPLATS Derby PGM Mine,Partly Cloudy,32.5,82.9,0.3,2.7,65.8,Monitor light levels in underground shafts.
2022-03-23,ZIMPLATS Derby PGM Mine,Clear,24.0,77.9,0.8,18.2,78.2,Optimal visibility — schedule blasting operations or inspections.
2022-03-24,Unki Mine,Partly Cloudy,37.0,85.6,1.5,11.5,41.4,Maintain ventilation checks before shift start.
2022-03-25,ZIMPLATS Derby PGM Mine,Windy,30.5,41.7,1.7,26.1,282.7,Check stability of conveyor belts and hoisting equipment.
2022-03-26,Freda Rebecca Mine,Thunderstorms,28.4,78.3,11.8,1.5,79.2,Secure loose equipment and materials.
2022-03-27,Renco Mine,Hot,18.2,94.5,1.6,12.1,63.3,Provide extra hydration stations at worksite.
2022-03-28,ZIMPLATS Derby PGM Mine,Hot,17.6,71.4,1.3,0.5,24.2,Provide extra hydration stations at worksite.
2022-03-29,Renco Mine,Windy,18.1,47.3,0.6,49.7,175.8,Monitor dust dispersion and adjust water sprays.
2022-03-30,Freda Rebecca Mine,Partly Cloudy,36.7,55.9,0.9,17.8,65.8,Maintain ventilation checks before shift start.
2022-03-31,Freda Rebecca Mine,Thunderstorms,38.5,76.3,6.9,18.8,22.4,Ensure workers seek shelter until storm passes.
2022-04-01,Shabanie Mashaba Mine,Rain,33.8,48.0,17.6,34.6,10.5,Postpone blasting operations until ground is stable.
2022-04-02,Unki Mine,Clear,26.8,53.0,1.1,35.0,244.1,Good time for aerial surveys of the pit.
2022-04-03,Karo Coal Mine,Partly Cloudy,32.9,25.4,0.0,15.4,99.7,Monitor light levels in underground shafts.
2022-04-04,Renco Mine,Clear,31.0,94.2,1.1,23.5,133.4,Good time for aerial surveys of the pit.
2022-04-05,Shabanie Mashaba Mine,Thunderstorms,25.2,42.9,17.2,8.3,51.6,Ensure workers seek shelter until storm passes.
2022-04-06,ZIMPLATS Derby PGM Mine,Windy,34.5,67.6,1.7,58.6,146.8,Check stability of conveyor belts and hoisting equipment.
2022-04-07,Unki Mine,Partly Cloudy,32.0,61.1,1.8,11.9,24.0,Schedule maintenance during cooler parts of the day.
2022-04-08,Murowa Diamond Mine,Thunderstorms,36.2,25.3,8.4,17.4,80.0,Ensure workers seek shelter until storm passes.
2022-04-09,Karo Coal Mine,Windy,22.3,36.2,1.6,50.6,198.1,Monitor dust dispersion and adjust water sprays.
2022-04-10,Freda Rebecca Mine,Rain,15.3,59.5,7.8,28.4,83.6,Check water drainage systems around pits.
2022-04-11,Karo Coal Mine,Hot,30.8,56.6,0.2,56.9,19.0,Monitor worker heat stress — schedule frequent breaks.
2022-04-12,Murowa Diamond Mine,Hot,29.9,79.8,1.8,49.5,74.9,Provide extra hydration stations at worksite.
2022-04-13,Renco Mine,Thunderstorms,30.2,81.4,12.5,17.1,60.0,Ensure workers seek shelter until storm passes.
2022-04-14,ZIMPLATS Derby PGM Mine,Windy,36.9,46.4,1.3,22.9,51.2,High wind may affect crane and lifting operations — use caution.
2022-04-15,Shabanie Mashaba Mine,Rain,25.7,52.0,2.4,4.7,27.3,Check water drainage systems around pits.
2022-04-16,ZIMPLATS Derby PGM Mine,Clear,22.9,25.9,1.5,37.0,267.6,Ensure dust controls are in place during dry conditions.
2022-04-17,Murowa Diamond Mine,Windy,26.0,48.3,0.3,56.5,295.1,Check stability of conveyor belts and hoisting equipment.
2022-04-18,Unki Mine,Clear,38.7,70.6,0.8,38.2,223.5,Good time for aerial surveys of the pit.
2022-04-19,ZIMPLATS Derby PGM Mine,Rain,38.3,38.9,2.6,44.8,47.4,Check water drainage systems around pits.
2022-04-20,Karo Coal Mine,Hot,16.0,23.7,0.8,8.2,36.4,Provide extra hydration stations at worksite.
